epoch,learning_rate,train_loss_normalized,val_loss_normalized,train_forecast_mse_normalized,train_change_anomaly_mse_normalized,val_forecast_mse_normalized,val_change_anomaly_mse_normalized,rmse_celsius,mae_celsius,bias_celsius,persistence_rmse_celsius,persistence_mae_celsius,skill_vs_persistence,rmse_improvement_percent,observed_daily_change_mean_celsius,predicted_daily_change_mean_celsius,observed_daily_change_std_celsius,predicted_daily_change_std_celsius,daily_change_variability_ratio,daily_change_correlation,daily_change_rmse_celsius,ocean_pixel_count
1.0,0.001,0.00010454352274044924,6.363394969997749e-05,8.513473124078634e-05,7.763516375079478e-05,5.315010669507239e-05,4.19353728169856e-05,0.2523940586285266,0.1733189966677388,0.10273814676890426,0.23782034479874492,0.15713932992247454,-0.06128034942559113,-6.128034942559113,-0.059446252819264016,0.043291893949640246,0.23027083928700584,0.003000147522409979,0.013028777467869667,-0.08248845464048216,0.2523940586285266,406610
2.0,0.001,0.00010413550200343995,5.4886250350822066e-05,8.475947023674134e-05,7.750412807241461e-05,4.4413429574501916e-05,4.189128195906811e-05,0.2307194508918556,0.15226616594578624,0.01174225537172589,0.23782034479874492,0.15713932992247454,0.029858227280338157,2.9858227280338157,-0.059446252819264016,-0.04770399744753813,0.23027083928700584,0.002024332957501215,0.008791095580183816,-0.0695353696195651,0.2307194508918556,406610
3.0,0.001,0.00010450723109202747,6.365869264038636e-05,8.510310549243558e-05,7.761650358145011e-05,5.3154230468638544e-05,4.201784739127281e-05,0.25240385028886597,0.17320394035999453,0.10227252576680756,0.23782034479874492,0.15713932992247454,-0.061321521934813106,-6.132152193481311,-0.059446252819264016,0.04282627294754355,0.23027083928700584,0.004769958853720536,0.020714558858125044,-0.09132619718227705,0.25240385028886597,406610
4.0,0.001,0.00010383513444235806,6.531373269167052e-05,8.447452096223104e-05,7.744245350642917e-05,5.480225141357937e-05,4.204592401598746e-05,0.25628681254765595,0.17770072870061487,0.11135420364823544,0.23782034479874492,0.15713932992247454,-0.07764881412705993,-7.764881412705993,-0.059446252819264016,0.05190795082897142,0.23027083928700584,0.005416706536992447,0.023523197960125346,-0.09186632064816498,0.25628681254765595,406610
5.0,0.001,0.00010414277624558446,6.029596460555769e-05,8.477517394197545e-05,7.7470409658092e-05,4.977146703797737e-05,4.209799350961749e-05,0.2442402736597473,0.16378069577562232,0.07941031638292012,0.23782034479874492,0.15713932992247454,-0.026994868191092758,-2.699486819109276,-0.059446252819264016,0.01996406356365611,0.23027083928700584,0.006580515017563684,0.028577283332701268,-0.09217653055865226,0.2442402736597473,406610
6.0,0.001,0.00010360863175227995,5.530382483425767e-05,8.425271718022679e-05,7.742365935298697e-05,4.478258923794883e-05,4.208494308292993e-05,0.23167632683679829,0.15266432376968148,0.018487224424411013,0.23782034479874492,0.15713932992247454,0.025834702944132037,2.5834702944132037,-0.059446252819264016,-0.040959028394853006,0.23027083928700584,0.00634466916551773,0.027553072656368086,-0.09145451966280256,0.23167632683679829,406610
7.0,0.001,0.00010524564981081984,6.569660444542995e-05,8.586200437559632e-05,7.753458103104456e-05,5.5218528185122686e-05,4.1912305489747005e-05,0.25725834420138055,0.17907813228926062,0.11428589033032685,0.23782034479874492,0.15713932992247454,-0.08173396358955332,-8.173396358955332,-0.059446252819264016,0.054839637511062835,0.23027083928700584,0.00216034721730754,0.009381766375615273,-0.09172948114453171,0.25725834420138055,406610
8.0,0.001,0.00010390934471430908,5.993255723446404e-05,8.453221682163818e-05,7.750850967775152e-05,4.935338732400552e-05,4.231667934282211e-05,0.24321230289055712,0.1624479773087918,0.07438649537128775,0.23782034479874492,0.15713932992247454,-0.02267240044738439,-2.267240044738439,-0.059446252819264016,0.01494024255202373,0.23027083928700584,0.011071195207289266,0.04807901530896975,-0.09250170888487652,0.24321230289055712,406610
9.0,0.001,0.0001037871360739057,5.782846441533901e-05,8.443682943139512e-05,7.740122704327531e-05,4.731385746559332e-05,4.2058429044865915e-05,0.23813390655139605,0.15735237451126335,0.05837049559599791,0.23782034479874492,0.15713932992247454,-0.0013184816165179303,-0.13184816165179303,-0.059446252819264016,-0.0010757572232661047,0.23027083928700584,0.005808845514859679,0.02522614471222571,-0.09054993304639423,0.23813390655139605,406610
10.0,0.001,0.00010404000227950983,5.8017473760354396e-05,8.468238903754732e-05,7.743045089745561e-05,4.744616377786159e-05,4.228523918244133e-05,0.23846662641378494,0.15759803900631086,0.057309191307466034,0.23782034479874492,0.15713932992247454,-0.00271752030124639,-0.271752030124639,-0.059446252819264016,-0.0021370615117979872,0.23027083928700584,0.010524189323901624,0.04570352614550749,-0.09213665821490294,0.23846662641378494,406610
