epoch,learning_rate,train_loss_normalized,val_loss_normalized,train_forecast_mse_normalized,train_change_anomaly_mse_normalized,val_forecast_mse_normalized,val_change_anomaly_mse_normalized,is_best_objective,is_best_rmse,is_best_anomaly,is_best_correlation,rmse_celsius,mae_celsius,bias_celsius,persistence_rmse_celsius,persistence_mae_celsius,skill_vs_persistence,rmse_improvement_percent,observed_daily_change_mean_celsius,predicted_daily_change_mean_celsius,observed_daily_change_std_celsius,predicted_daily_change_std_celsius,daily_change_variability_ratio,daily_change_correlation,daily_change_rmse_celsius,ocean_pixel_count
1.0,0.001,0.00012394551867316288,7.401603754061236e-05,8.513169917770154e-05,7.762763851768966e-05,5.3030104525482974e-05,4.1971868223013126e-05,1,1,1,1,0.2521089734001805,0.1729254726183719,0.10181845483113572,0.23782034479874492,0.15713932992247454,-0.06008160745678559,-6.008160745678559,-0.059446252819264016,0.042372202011871696,0.23027083928700584,0.003926677325265607,0.017052429814491014,-0.0839740236135604,0.2521089734001805,406610
2.0,0.001,0.00012351707207527374,6.541858143364525e-05,8.477288556457459e-05,7.748837231154879e-05,4.4434835192626215e-05,4.196749253187341e-05,1,1,1,1,0.23077504280407196,0.15264550033701244,0.008449664964598739,0.23782034479874492,0.15713932992247454,0.029624471365706895,2.9624471365706895,-0.059446252819264016,-0.05099658785466528,0.23027083928700584,0.004005087490257549,0.0173929426003684,-0.07862435759167961,0.23077504280407196,406610
3.0,0.001,0.00012384239611181816,7.458923967421208e-05,8.505794480660687e-05,7.756890355688861e-05,5.351022174518096e-05,4.2158034213496475e-05,0,0,0,0,0.2532476574838302,0.17398334010024222,0.10351088379316042,0.23782034479874492,0.15713932992247454,-0.06486960860367352,-6.486960860367352,-0.059446252819264016,0.044064630973896415,0.23027083928700584,0.007812453242889356,0.03392723658401245,-0.0928801529525347,0.2532476574838302,406610
4.0,0.001,0.00012316750957605966,7.568503377563639e-05,8.446114970422236e-05,7.741271820566731e-05,5.465447781081248e-05,4.206111033491739e-05,0,0,0,0,0.2559410400307695,0.17727062540109909,0.11046855115101266,0.23782034479874492,0.15713932992247454,-0.07619489092642251,-7.619489092642251,-0.059446252819264016,0.05102229833174865,0.23027083928700584,0.005773972388450597,0.0250747007581538,-0.09195289535405425,0.2559410400307695,406610
5.0,0.001,0.0001234902707009001,7.067865854342888e-05,8.476942084820533e-05,7.744169964623539e-05,4.963202161590046e-05,4.209327380522154e-05,0,0,0,0,0.24389789018999924,0.16340096456736405,0.07838154004463974,0.23782034479874492,0.15713932992247454,-0.02555519544132112,-2.555519544132112,-0.059446252819264016,0.01893528722537572,0.23027083928700584,0.006486152869782965,0.028167495675380454,-0.09232411938829509,0.24389789018999924,406610
6.0,0.001,0.00012295170159720839,6.582931123437896e-05,8.424593941866973e-05,7.741152518523508e-05,4.477673119503354e-05,4.210516112523268e-05,0,0,0,0,0.2316611715057637,0.1527172921982791,0.017567248342779587,0.23782034479874492,0.15713932992247454,0.025898428909408078,2.5898428909408078,-0.059446252819264016,-0.04187900447648443,0.23027083928700584,0.0068307645667940765,0.029664045121581037,-0.09122216133759999,0.2316611715057637,406610
7.0,0.001,0.00012467689036081234,7.727392989032174e-05,8.592341174239036e-05,7.75069570593816e-05,5.6309705043581554e-05,4.1928449394468425e-05,0,0,1,0,0.2597877592858569,0.1820154294868909,0.11979008835025376,0.23782034479874492,0.15713932992247454,-0.0923697865533828,-9.23697865533828,-0.059446252819264016,0.06034383553098974,0.23027083928700584,0.0024918933985808925,0.010821576046261928,-0.09510602468876782,0.2597877592858569,406610
8.0,0.001,0.0001232630470994769,7.06165303374092e-05,8.452341794102581e-05,7.747925831690219e-05,4.944313486578734e-05,4.2346791790444276e-05,0,0,0,0,0.24343333892425323,0.1626569430564996,0.07484642544779212,0.23782034479874492,0.15713932992247454,-0.023601824857576004,-2.3601824857576004,-0.059446252819264016,0.015400172628528096,0.23027083928700584,0.011636249992385897,0.050532885659406765,-0.09287990135994374,0.24343333892425323,406610
9.0,0.001,0.00012311672664538966,6.833578892887812e-05,8.442278109524945e-05,7.738789222420882e-05,4.7282522108903385e-05,4.210653224456035e-05,0,0,0,0,0.23805503635772665,0.15724086654054026,0.05752151545008626,0.23782034479874492,0.15713932992247454,-0.000986843910180779,-0.09868439101807791,-0.059446252819264016,-0.0019247373691777525,0.23027083928700584,0.006973981023501103,0.030285992985889305,-0.08972506301095078,0.23805503635772665,406610
10.0,0.001,0.00012337403857940428,6.855982772396775e-05,8.467820820131725e-05,7.739166046040344e-05,4.739512582564701e-05,4.232940359730018e-05,0,0,0,0,0.23833833652157177,0.15746645118843033,0.05626296512974056,0.23782034479874492,0.15713932992247454,-0.002178079942088962,-0.21780799420889618,-0.059446252819264016,-0.0031832876895234595,0.23027083928700584,0.011451944482085287,0.049732499857751286,-0.09173795721152132,0.23833833652157177,406610
11.0,0.001,0.00012361332944526177,7.520456282479357e-05,8.492960040438617e-05,7.736745849583011e-05,5.415227048478587e-05,4.2104585028862684e-05,0,0,0,0,0.2547624337110449,0.1757872524798812,0.1074412194377471,0.23782034479874492,0.15713932992247454,-0.07123902257663106,-7.123902257663106,-0.059446252819264016,0.04799496661848309,0.23027083928700584,0.007049633315347167,0.030614529122207343,-0.08806777563661683,0.2547624337110449,406610
12.0,0.001,0.00012343644689318035,7.167772417058786e-05,8.47345883546329e-05,7.740371607147476e-05,5.058090366767592e-05,4.219364090615322e-05,0,0,0,0,0.246218315144644,0.16583933480557975,0.08457617845899054,0.23782034479874492,0.15713932992247454,-0.03531224527071419,-3.5312245270714193,-0.059446252819264016,0.025129925639726523,0.23027083928700584,0.008819592720524488,0.0383009535546613,-0.09057191656763863,0.246218315144644,406610
13.0,0.001,0.0001237354200731819,7.523199288598708e-05,8.503728475453846e-05,7.739626989786029e-05,5.419601713010582e-05,4.207195235896307e-05,0,0,0,0,0.25486531975227256,0.17596358265797846,0.10787518333923751,0.23782034479874492,0.15713932992247454,-0.07167164343299537,-7.167164343299537,-0.059446252819264016,0.048428930519973504,0.23027083928700584,0.006269642972970576,0.027227255489159854,-0.08842050373785339,0.25486531975227256,406610
14.0,0.001,0.0001231679829865376,7.265795951977066e-05,8.450411559447903e-05,7.732773484327126e-05,5.143901256665791e-05,4.2437893059024945e-05,0,0,0,0,0.24829808646775875,0.16788960010548454,0.08871089999110092,0.23782034479874492,0.15713932992247454,-0.04405738154101413,-4.405738154101413,-0.059446252819264016,0.029264647171836904,0.23027083928700584,0.013969393711122036,0.060665057522593255,-0.08743508610563026,0.24829808646775875,406610
15.0,0.001,0.00012335928956262496,7.502963255743229e-05,8.468707268385641e-05,7.7344433254727e-05,5.386217665931925e-05,4.233491144737879e-05,0,0,0,0,0.2540791415093252,0.17462251079771166,0.1044243854831504,0.23782034479874492,0.15713932992247454,-0.06836587813519168,-6.836587813519168,-0.059446252819264016,0.04497813266388639,0.23027083928700584,0.012053593896392876,0.05234529015360678,-0.08679399865892604,0.2540791415093252,406610
16.0,0.001,0.00012367492924043075,8.42689029786302e-05,8.500270396177618e-05,7.734445067561739e-05,6.318306398884177e-05,4.217167862743611e-05,0,0,0,0,0.2751866769023239,0.199717055091568,0.14927014574082004,0.23782034479874492,0.15713932992247454,-0.15711999801867327,-15.711999801867327,-0.059446252819264016,0.08982389292155601,0.23027083928700584,0.008830892443822416,0.038350025001714326,-0.08445713106047663,0.2751866769023239,406610
