epoch,train_loss_normalized,val_loss_normalized,rmse_celsius,mae_celsius,persistence_rmse_celsius,skill_vs_persistence,ocean_pixel_count
1.0,0.06949091774631079,0.006910039456433629,2.877844480661923,1.975395404418546,0.23782034310609051,-11.100918042062242,406610.0
2.0,0.007376511850038438,0.005971414681319913,2.6752580651099227,1.7493629155164039,0.23782034310609051,-10.249071589794582,406610.0
3.0,0.00538823554269606,0.004045040636923011,2.201853969672073,1.2917015075871228,0.23782034310609051,-8.25847612914189,406610.0
4.0,0.0038258165662457063,0.002585640559866004,1.7603990934698979,1.186813336854572,0.23782034310609051,-6.402222494837594,406610.0
5.0,0.00259004873356108,0.0023704505149173003,1.6855533548000734,1.3192806931857308,0.23782034310609051,-6.087507034871933,406610.0
6.0,0.0017384439574297124,0.00197742200673443,1.5394895545507101,1.2027354341575773,0.23782034310609051,-5.473329970194985,406610.0
7.0,0.001509230684231573,0.0012384905345891029,1.2183537679176335,0.8296152323095226,0.23782034310609051,-4.123000631506665,406610.0
8.0,0.001400502826412761,0.0019125756105943903,1.5140365780595169,1.2445659187973426,0.23782034310609051,-5.366303901025458,406610.0
9.0,0.0012141538474413499,0.0010500750520381413,1.1218563126329448,0.8027557370795264,0.23782034310609051,-3.717242848028733,406610.0
10.0,0.0012314171270974648,0.001305177828539418,1.250725213135684,0.957033273447299,0.23782034310609051,-4.259117856783772,406610.0
11.0,0.0013307306297479303,0.0009500756261755445,1.067102537300808,0.7474967357051674,0.23782034310609051,-3.487011175594759,406610.0
12.0,0.0010351773750839558,0.0014163957006132154,1.3029248300441107,1.0572961054415626,0.23782034310609051,-4.4786096640306425,406610.0
13.0,0.0010085321075048268,0.00128153523857616,1.2393453437068251,0.9964357546235951,0.23782034310609051,-4.211267158730652,406610.0
14.0,0.0009488037922722477,0.0012964896446298042,1.2465553973193826,1.0303115623693466,0.23782034310609051,-4.241584386930685,406610.0
15.0,0.0008466132377970933,0.0009906819386867015,1.089667976183866,0.8233267808065469,0.23782034310609051,-3.5818955685290987,406610.0
16.0,0.0008200026269646255,0.0006659241458592452,0.8933866324142545,0.6058212032971552,0.23782034310609051,-2.7565610273117764,406610.0
17.0,0.0007529992083034562,0.0006206763512773873,0.8625011060425777,0.5844523527276214,0.23782034310609051,-2.626691874957981,406610.0
18.0,0.0008373323173027455,0.0006506346885357307,0.8830711149764998,0.6182187243976875,0.23782034310609051,-2.713185774787004,406610.0
19.0,0.0007341663813127614,0.0008699020509582575,1.0210857990590914,0.8079069955892931,0.23782034310609051,-3.2935174750950127,406610.0
20.0,0.0007098637676487366,0.0011599058977468577,1.1790668854214654,0.9997805946672641,0.23782034310609051,-3.9578049969236204,406610.0
21.0,0.0007257800813332745,0.0008055277675875042,0.9825786491446404,0.7716608123993199,0.23782034310609051,-3.1316005027640417,406610.0
22.0,0.000597583168807129,0.0012184860079536494,1.2084740563092913,1.056711487685528,0.23782034310609051,-4.081457879194955,406610.0
23.0,0.000597834300081344,0.000442940642904133,0.7286178950862169,0.5021191401446564,0.23782034310609051,-2.0637324190604835,406610.0
24.0,0.0007082746734244492,0.00046931399185567687,0.7499957673606105,0.5577361493891567,0.23782034310609051,-2.1536232668962256,406610.0
25.0,0.0005507786617220599,0.0008869393320422467,1.0310364701243633,0.8589091423888215,0.23782034310609051,-3.335358601616443,406610.0
26.0,0.0005382180211088825,0.0006457229929478609,0.8797315946395873,0.6903906367684175,0.23782034310609051,-2.699143576826576,406610.0
27.0,0.0004975515790662267,0.0013083685221380158,1.2522530500041686,1.1307422744421867,0.23782034310609051,-4.26554218890158,406610.0
28.0,0.0005183993789984473,0.00048350580419375473,0.7612510435736962,0.5656439735711124,0.23782034310609051,-2.200950068573847,406610.0
29.0,0.0004517320146958336,0.00044332445066498774,0.7289334911083889,0.543882598843179,0.23782034310609051,-2.065059454494249,406610.0
30.0,0.0004696995826775011,0.00051932276564663,0.788943216062843,0.6301873485236544,0.23782034310609051,-2.3173916316776113,406610.0
31.0,0.00045338977455744537,0.0009831656105433629,1.0855264071911142,0.96473915038366,0.23782034310609051,-3.5644808724662633,406610.0
32.0,0.00047061184650226456,0.0005519278331544914,0.8133326612779326,0.6552928421794687,0.23782034310609051,-2.4199457063061622,406610.0
33.0,0.00038788189408293645,0.0009401754000900339,1.061528115441735,0.9532687019848565,0.23782034310609051,-3.4635715413470436,406610.0
34.0,0.00038020189248623584,0.00023796912745177134,0.5340567012384269,0.375824766125518,0.23782034310609051,-1.2456308584173001,406610.0
35.0,0.0003576193784971199,0.0003127667148699601,0.6122620227363527,0.45544208312614515,0.23782034310609051,-1.5744728762048146,406610.0
36.0,0.0003569608017597802,0.0002721916044558309,0.5711687330698983,0.433488827953037,0.23782034310609051,-1.401681561846468,406610.0
37.0,0.00037413518908963636,0.00048172122508619134,0.7598449004100334,0.6336361421215584,0.23782034310609051,-2.195037440809133,406610.0
38.0,0.0003760016423449435,0.00036145373222048154,0.6581932490478052,0.5065202256827027,0.23782034310609051,-1.7676070114581761,406610.0
39.0,0.00034694607692346645,0.0017725399708094663,1.4575554071497252,1.3903160262021654,0.23782034310609051,-5.128808781086977,406610.0
40.0,0.00039367750429025874,0.0003630692021257869,0.6596624653541134,0.5272285864276426,0.23782034310609051,-1.7737848526265103,406610.0
41.0,0.0003319525589827615,0.0003127001149401273,0.6121968485748188,0.46903794675794985,0.23782034310609051,-1.574198828321935,406610.0
42.0,0.00026546403712676307,0.0002213413787252997,0.5150606443663353,0.3933335355179487,0.23782034310609051,-1.1657551983959973,406610.0
