epoch,learning_rate,train_loss_normalized,val_loss_normalized,rmse_celsius,mae_celsius,bias_celsius,persistence_rmse_celsius,persistence_mae_celsius,skill_vs_persistence,rmse_improvement_percent,observed_daily_change_mean_celsius,predicted_daily_change_mean_celsius,observed_daily_change_std_celsius,predicted_daily_change_std_celsius,daily_change_variability_ratio,daily_change_correlation,daily_change_rmse_celsius,ocean_pixel_count
1.0,0.0003,8.4471226905518e-05,5.058128351253164e-05,0.24621923773029014,0.1662078044578759,0.0864427310454535,0.23782034479874492,0.15713932992247454,-0.03531612460932543,-3.5316124609325428,-0.059446252819264016,0.026996478226189478,0.23027083928700584,0.002874741485094954,0.012484175130451159,-0.08961423362198644,0.24621923773029014,406610
2.0,0.0003,8.47347787126134e-05,4.9069704813244816e-05,0.2425123053098625,0.16208793163850735,0.07538210216759668,0.23782034479874492,0.15713932992247454,-0.019729012314266603,-1.9729012314266603,-0.059446252819264016,0.01593584934833266,0.23027083928700584,0.0024561321613343705,0.01066627528235604,-0.08757881870825499,0.2425123053098625,406610
3.0,0.0003,8.421884387082276e-05,5.7156722492710624e-05,0.2617343486378198,0.1841928727293574,0.12359530685754853,0.23782034479874492,0.15713932992247454,-0.10055491198329602,-10.055491198329602,-0.059446252819264016,0.06414905403828451,0.23027083928700584,0.004414247808793053,0.019169808137500233,-0.09096377979010042,0.2617343486378198,406610
4.0,0.0003,8.504850434033367e-05,5.340589896523815e-05,0.2530006702095197,0.17395982791622186,0.10395370796665475,0.23782034479874492,0.15713932992247454,-0.06383106299682284,-6.383106299682284,-0.059446252819264016,0.04450745514739073,0.23027083928700584,0.0038958300140559976,0.01691846881749668,-0.09092048144924128,0.2530006702095197,406610
5.0,0.0003,8.439829294300994e-05,5.291326929119811e-05,0.2518310970266181,0.1724010805358825,0.100257323862503,0.23782034479874492,0.15713932992247454,-0.05891317767506288,-5.891317767506288,-0.059446252819264016,0.040811071043238986,0.23027083928700584,0.006997267816063878,0.030387120825762035,-0.09115475816697226,0.2518310970266181,406610
6.0,0.0003,8.458860638046002e-05,5.40950244463253e-05,0.25462774559683343,0.17571427023436303,0.10730747416304351,0.23782034479874492,0.15713932992247454,-0.0706726786234868,-7.067267862348681,-0.059446252819264016,0.047861221343779486,0.23027083928700584,0.0061437675629908975,0.02668061480130971,-0.09117973644868795,0.25462774559683343,406610
7.0,0.0003,8.439559604720841e-05,5.2606787716759345e-05,0.25110071480481644,0.1715387356163716,0.0983596197135895,0.23782034479874492,0.15713932992247454,-0.05584202654028614,-5.584202654028614,-0.059446252819264016,0.03891336689432549,0.23027083928700584,0.007122091783503435,0.03092919540118832,-0.09194168277187625,0.25110071480481644,406610
8.0,0.0003,8.432764079179463e-05,5.0893882771934804e-05,0.24697889597983275,0.16671824507095181,0.0867255770225766,0.23782034479874492,0.15713932992247454,-0.038510377187612965,-3.8510377187612965,-0.059446252819264016,0.027279324203312583,0.23027083928700584,0.00885372634281854,0.03844918605513657,-0.09177205063812331,0.24697889597983275,406610
9.0,0.0003,8.431303812232534e-05,4.999809019340917e-05,0.2447956901325051,0.16427188269906312,0.08021120537353779,0.23782034479874492,0.15713932992247454,-0.029330313769677874,-2.9330313769677874,-0.059446252819264016,0.02076495255427378,0.23027083928700584,0.009091031896564654,0.03947973579595868,-0.09166576777930811,0.2447956901325051,406610
10.0,0.00015,8.43418677734037e-05,4.9458681294783847e-05,0.24347160529841946,0.16272084804688397,0.07501197847343488,0.23782034479874492,0.15713932992247454,-0.023762729401712424,-2.3762729401712424,-0.059446252819264016,0.015565725654170868,0.23027083928700584,0.01162377326587387,0.05047870282604993,-0.09187984688592588,0.24347160529841946,406610
11.0,0.00015,8.423410829751018e-05,5.1467336773272755e-05,0.2483664366514285,0.16819816062021253,0.0900969680871178,0.23782034479874492,0.15713932992247454,-0.04434478413362064,-4.434478413362064,-0.059446252819264016,0.030650715267853783,0.23027083928700584,0.010304527314147915,0.04474959723972917,-0.09220637177348691,0.2483664366514285,406610
12.0,0.00015,8.417785662695826e-05,5.146336768855889e-05,0.24835686065102952,0.16816916913149593,0.08996994068348116,0.23782034479874492,0.15713932992247454,-0.04430451844311767,-4.430451844311767,-0.059446252819264016,0.030523687864217136,0.23027083928700584,0.010576958514116754,0.045932687555517195,-0.09238277512681226,0.24835686065102952,406610
13.0,0.00015,8.420770124454673e-05,5.190895660222214e-05,0.24942972996637658,0.16936231227019707,0.09273892517727331,0.23782034479874492,0.15713932992247454,-0.048815778050679715,-4.8815778050679715,-0.059446252819264016,0.03329267235800929,0.23027083928700584,0.01098414479072174,0.04770098039652897,-0.0927857203249736,0.24942972996637658,406610
14.0,0.00015,8.429049702817423e-05,5.089536447585114e-05,0.24698249569260103,0.16662065591366737,0.08608702059963186,0.23782034479874492,0.15713932992247454,-0.03852551345684718,-3.8525513456847182,-0.059446252819264016,0.026640767780367846,0.23027083928700584,0.010602507796707782,0.046043640738604286,-0.09263056124091845,0.24698249569260103,406610
15.0,0.00015,8.446268286088452e-05,5.007083133048033e-05,0.24497369793441248,0.1644432667121982,0.08061630309312653,0.23782034479874492,0.15713932992247454,-0.03007881071621976,-3.007881071621976,-0.059446252819264016,0.021170050273862522,0.23027083928700584,0.009390678556426967,0.04078101502345496,-0.0925546130653557,0.24497369793441248,406610
16.0,0.00015,8.429436334191133e-05,5.015205125059703e-05,0.24517230510830568,0.16462086410606427,0.08090882031665028,0.23782034479874492,0.15713932992247454,-0.030913925029342426,-3.0913925029342426,-0.059446252819264016,0.021462567497386262,0.23027083928700584,0.010187395655604165,0.04424092814855623,-0.0926695334580191,0.24517230510830568,406610
17.0,7.5e-05,8.421408285091563e-05,5.054223843154893e-05,0.24612418909660813,0.16563719168218544,0.08342764843513187,0.23782034479874492,0.15713932992247454,-0.03491645891309392,-3.4916458913093917,-0.059446252819264016,0.02398139561586785,0.23027083928700584,0.011015547346160759,0.04783735265945315,-0.0928309106977398,0.24612418909660813,406610
18.0,7.5e-05,8.419838340477867e-05,5.210807663787233e-05,0.24990767033522313,0.1699461382749596,0.09423026665416688,0.23782034479874492,0.15713932992247454,-0.05082544786783094,-5.082544786783094,-0.059446252819264016,0.03478401383490286,0.23027083928700584,0.010328980807709059,0.04485579172634701,-0.09315958528040151,0.24990767033522313,406610
19.0,7.5e-05,8.418998754123317e-05,4.991614915612345e-05,0.24459501277448556,0.16389606676117868,0.07828745270926996,0.23782034479874492,0.15713932992247454,-0.028486494633054527,-2.8486494633054527,-0.059446252819264016,0.018841199890005936,0.23027083928700584,0.012240845486768983,0.05315846993336482,-0.09282567949851644,0.24459501277448556,406610
20.0,7.5e-05,8.416868684996995e-05,5.117497105495877e-05,0.24765999318799858,0.16729592187995504,0.08747084316156936,0.23782034479874492,0.15713932992247454,-0.041374292000040835,-4.1374292000040835,-0.059446252819264016,0.02802459034230535,0.23027083928700584,0.01200803561307529,0.052147443637484074,-0.09321026282110773,0.24765999318799858,406610
