epoch,train_loss_normalized,val_loss_normalized,rmse_celsius,mae_celsius,bias_celsius,persistence_rmse_celsius,persistence_mae_celsius,skill_vs_persistence,rmse_improvement_percent,ocean_pixel_count
1.0,8.503570989421683e-05,5.040957101250756e-05,0.24580095325902654,0.16573698670005502,0.08525833225951528,0.23782034310609051,0.1571393297055225,-0.03355730653107303,-3.355730653107303,406610
2.0,8.468562139650595e-05,5.6880106431853074e-05,0.26110023722985276,0.18375711034577435,0.12305142223997706,0.23782034310609051,0.1571393297055225,-0.09788857344881219,-9.788857344881219,406610
3.0,8.491259808860325e-05,5.974173139181141e-05,0.2675875872153967,0.19135105732266483,0.13609692017751385,0.23782034310609051,0.1571393297055225,-0.12516693786799893,-12.516693786799893,406610
4.0,8.591513537018128e-05,4.734895758216001e-05,0.23822222200773174,0.15756869681635965,0.06089630783672853,0.23782034310609051,0.1571393297055225,-0.0016898424095785902,-0.16898424095785902,406610
5.0,8.481206091753079e-05,5.118779617613692e-05,0.24769102309997715,0.16792896764511372,0.09085621615559232,0.23782034310609051,0.1571393297055225,-0.04150477568474176,-4.150477568474176,406610
6.0,8.483974741510593e-05,4.9702466839497065e-05,0.24407091646570817,0.1638943545315997,0.08082390476066473,0.23782034310609051,0.1571393297055225,-0.026282753098330724,-2.6282753098330724,406610
7.0,8.487276328543988e-05,4.92426605053144e-05,0.24293932335926685,0.16258875398252856,0.07697457016395375,0.23782034310609051,0.1571393297055225,-0.021524568446580572,-2.152456844658057,406610
8.0,8.532476748199755e-05,5.3622852273330044e-05,0.25351403667128025,0.17462184261763805,0.10536833222478043,0.23782034310609051,0.1571393297055225,-0.06598970197511167,-6.598970197511167,406610
9.0,8.454010987510466e-05,4.789748086358025e-05,0.2395981129795726,0.15881886721824198,0.06396763649755179,0.23782034310609051,0.1571393297055225,-0.007475264101729939,-0.7475264101729939,406610
10.0,8.501228474163852e-05,4.466404873847464e-05,0.2313694967489996,0.1527369274256582,0.013878422726778247,0.23782034310609051,0.1571393297055225,0.02712487196359492,2.712487196359492,406610
11.0,8.51418213952878e-05,5.3209970084861024e-05,0.25253616030726983,0.17333353083459888,0.10250518064052566,0.23782034310609051,0.1571393297055225,-0.06187787389834298,-6.187787389834298,406610
12.0,8.448018426003646e-05,5.432047238509643e-05,0.25515778729599803,0.17646494942558594,0.10901855684904607,0.23782034310609051,0.1571393297055225,-0.07290143460172094,-7.290143460172094,406610
13.0,8.475820368772933e-05,5.0034095518839585e-05,0.24488381957044847,0.1645189503825264,0.08156812905250861,0.23782034310609051,0.1571393297055225,-0.029700892581787874,-2.9700892581787874,406610
14.0,8.425058792742742e-05,4.481774830970632e-05,0.23176725440426862,0.15262223428978705,0.020147831975139866,0.23782034310609051,0.1571393297055225,0.02545235879641139,2.545235879641139,406610
15.0,8.58912156299476e-05,5.6224258190773634e-05,0.25959057645920025,0.18188850059649064,0.11968474525212802,0.23782034310609051,0.1571393297055225,-0.09154066918235904,-9.154066918235904,406610
16.0,8.459279194902023e-05,4.876692759826754e-05,0.24176295539048287,0.16098614379315407,0.07038835585696368,0.23782034310609051,0.1571393297055225,-0.016578112002107348,-1.6578112002107348,406610
17.0,8.445474893191632e-05,4.760506640631731e-05,0.23886562041028453,0.15811097919142036,0.06196619193630913,0.23782034310609051,0.1571393297055225,-0.004395239240436721,-0.43952392404367213,406610
18.0,8.470134089589195e-05,4.74786920925883e-05,0.2385483582551996,0.1576990458503311,0.05858496526659645,0.23782034310609051,0.1571393297055225,-0.003061197959773887,-0.3061197959773887,406610
19.0,8.492708008365357e-05,5.543597027809321e-05,0.2577643723598124,0.1793782848295203,0.11457530566955944,0.23782034310609051,0.1571393297055225,-0.08386174619563547,-8.386174619563548,406610
20.0,8.47660071818476e-05,4.9900414548935496e-05,0.24455645556628805,0.16407467250655572,0.08008317401137607,0.23782034310609051,0.1571393297055225,-0.028324374493028825,-2.8324374493028825,406610
21.0,8.495940006483816e-05,5.471411454953789e-05,0.2560806415532329,0.17740602684438483,0.11073788079769588,0.23782034310609051,0.1571393297055225,-0.0767819027113108,-7.67819027113108,406610
22.0,8.453441593546148e-05,5.0777732275030894e-05,0.2466969120476757,0.16619335992739512,0.08467035237992468,0.23782034310609051,0.1571393297055225,-0.03732468310175374,-3.732468310175374,406610
23.0,8.46722451695506e-05,5.29704697801706e-05,0.25196717413649516,0.17229638680281012,0.09963166714476863,0.23782034310609051,0.1571393297055225,-0.059485369693936585,-5.9485369693936585,406610
24.0,8.501377489325038e-05,6.320137139457622e-05,0.27522653868393226,0.19992414144110374,0.14965125330404327,0.23782034310609051,0.1571393297055225,-0.15728761925616697,-15.728761925616697,406610
25.0,8.503313107005268e-05,5.086959383134692e-05,0.24691995649066478,0.16672117945770362,0.08715657009757928,0.23782034310609051,0.1571393297055225,-0.03826255258792122,-3.8262552587921217,406610
26.0,8.433231763537913e-05,4.9513515104118686e-05,0.24360653430172058,0.16286747454131031,0.0758116657302769,0.23782034310609051,0.1571393297055225,-0.024330093549015164,-2.4330093549015164,406610
27.0,8.443147894061299e-05,4.742445401474196e-05,0.23841206251698566,0.1575197729228599,0.054833280146290554,0.23782034310609051,0.1571393297055225,-0.0024880941771712184,-0.24880941771712184,406610
28.0,8.435207641516941e-05,4.6055064172235206e-05,0.2349447567732507,0.1546386928900313,0.038208282584034185,0.23782034310609051,0.1571393297055225,0.01209142285846021,1.209142285846021,406610
29.0,8.465097446942975e-05,5.028806630783549e-05,0.24550454004875646,0.1649969354680506,0.08217356157784841,0.23782034310609051,0.1571393297055225,-0.03231093203510382,-3.2310932035103823,406610
30.0,8.446040761569985e-05,5.5850921928314874e-05,0.25872728583421684,0.1805196261899071,0.11682935935989319,0.23782034310609051,0.1571393297055225,-0.08791065749493021,-8.791065749493022,406610
