epoch,learning_rate,train_loss_normalized,val_loss_normalized,rmse_celsius,mae_celsius,bias_celsius,persistence_rmse_celsius,persistence_mae_celsius,skill_vs_persistence,rmse_improvement_percent,observed_daily_change_mean_celsius,predicted_daily_change_mean_celsius,observed_daily_change_std_celsius,predicted_daily_change_std_celsius,daily_change_variability_ratio,daily_change_correlation,daily_change_rmse_celsius,ocean_pixel_count
1.0,0.001,8.51408552309324e-05,5.3241711400117574e-05,0.2526114684169971,0.1736295204789296,0.1034306156263241,0.23782034479874492,0.15713932992247454,-0.062194526001419836,-6.219452600141984,-0.059446252819264016,0.04398436280706008,0.23027083928700584,0.0022767179781218016,0.009887131106879483,-0.08089361344518596,0.2526114684169971,406610
2.0,0.001,8.474014694963362e-05,4.441349256635414e-05,0.2307196149730036,0.15211626228857333,0.013835843537432583,0.23782034479874492,0.15713932992247454,0.02985753734294805,2.985753734294805,-0.059446252819264016,-0.04561040928183144,0.23027083928700584,0.001090993776022011,0.004737872061438982,-0.028381982930387486,0.2307196149730036,406610
3.0,0.001,8.513384274579963e-05,5.296681495702328e-05,0.25195848624007633,0.1728399262250383,0.10176710134553932,0.23782034479874492,0.15713932992247454,-0.0594488308109038,-5.94488308109038,-0.059446252819264016,0.042320848526275295,0.23027083928700584,0.0023237268544950215,0.01009127713126874,-0.09015059595096016,0.25195848624007633,406610
4.0,0.001,8.44900346644094e-05,5.5277309849322455e-05,0.2573952387131781,0.17908540468918868,0.11414471618928823,0.23782034479874492,0.15713932992247454,-0.08230958512400788,-8.230958512400788,-0.059446252819264016,0.05469846337002421,0.23027083928700584,0.004285208921817765,0.018609429379274334,-0.09134464437239459,0.2573952387131781,406610
5.0,0.001,8.480608984080288e-05,4.9953186571157904e-05,0.24468573989136264,0.16431726121136683,0.08104909827801197,0.23782034479874492,0.15713932992247454,-0.028867988978939385,-2.8867988978939385,-0.059446252819264016,0.021602845458747955,0.23027083928700584,0.005778945923459115,0.025096299389677956,-0.09171682704527173,0.24468573989136264,406610
6.0,0.001,8.427258344306572e-05,4.477131952713435e-05,0.23164717550842795,0.15255631022632615,0.019501062099282943,0.23782034479874492,0.15713932992247454,0.025957280044905384,2.5957280044905384,-0.059446252819264016,-0.03994519071998107,0.23027083928700584,0.005386268849448374,0.023391015840850852,-0.09128882591068911,0.23164717550842795,406610
7.0,0.001,8.587022283591511e-05,5.515383066902932e-05,0.2571075942690149,0.17891882474445733,0.11397272420086062,0.23782034479874492,0.15713932992247454,-0.08110008202448693,-8.110008202448693,-0.059446252819264016,0.0545264713815966,0.23027083928700584,0.0020572355158484084,0.008933981924147604,-0.09039230059395079,0.2571075942690149,406610
8.0,0.001,8.456484919576716e-05,4.900172743499789e-05,0.24234426739659615,0.16158810937777848,0.0721319738783829,0.23782034479874492,0.15713932992247454,-0.019022437301062567,-1.9022437301062567,-0.059446252819264016,0.01268572105911888,0.23027083928700584,0.009582513606322975,0.04161409944912515,-0.09318481814656633,0.24234426739659615,406610
9.0,0.001,8.446138087855046e-05,4.736028485277617e-05,0.23825071199642298,0.15750780453417734,0.05952905748630513,0.23782034479874492,0.15713932992247454,-0.0018096315436859634,-0.18096315436859634,-0.059446252819264016,8.28046670411165e-05,0.23027083928700584,0.004249290307980718,0.018453445174117213,-0.0904340429479101,0.23825071199642298,406610
10.0,0.001,8.469992066445813e-05,4.750481577054278e-05,0.2386139722316234,0.1577709035342643,0.05889570641331764,0.23782034479874492,0.15713932992247454,-0.0033370880592662466,-0.33370880592662466,-0.059446252819264016,-0.0005505464059463778,0.23027083928700584,0.008647269048812418,0.03755260143050333,-0.09252868866186897,0.2386139722316234,406610
11.0,0.001,8.494387589237933e-05,5.52255596506269e-05,0.25727472470541374,0.17887913419195273,0.11370974730842538,0.23782034479874492,0.15713932992247454,-0.08180284122929882,-8.180284122929882,-0.059446252819264016,0.05426349448916136,0.23027083928700584,0.004982216487853527,0.0216363326910177,-0.09191272440563644,0.25727472470541374,406610
12.0,0.001,8.478905362970521e-05,4.9958042525335485e-05,0.24469762973528786,0.16426250052778688,0.08069539930197696,0.23782034479874492,0.15713932992247454,-0.02891798404532131,-2.891798404532131,-0.059446252819264016,0.021249146482712936,0.23027083928700584,0.006860048805428167,0.0297912181441173,-0.09288743325349225,0.24469762973528786,406610
13.0,0.001,8.499908538552274e-05,5.470947956519635e-05,0.25606979109898087,0.1774617209747272,0.11093729196936725,0.23782034479874492,0.15713932992247454,-0.07673627046365405,-7.6736270463654055,-0.059446252819264016,0.051491039150103224,0.23027083928700584,0.005055984014677817,0.021956683835143015,-0.09209085629730074,0.25606979109898087,406610
14.0,0.001,8.453873885990446e-05,5.121252586034905e-05,0.24775085215332673,0.16742522671138194,0.08799397185016425,0.23782034479874492,0.15713932992247454,-0.04175634074950785,-4.175634074950785,-0.059446252819264016,0.02854771903090023,0.23027083928700584,0.011448222655259195,0.04971633703471379,-0.09138645102875,0.24775085215332673,406610
15.0,0.001,8.470820117745609e-05,5.325661963792773e-05,0.25264683013191164,0.1731379149171847,0.10153509139404837,0.23782034479874492,0.15713932992247454,-0.06234321687538391,-6.234321687538391,-0.059446252819264016,0.042088838574784355,0.23027083928700584,0.00956578877949184,0.04154146833837347,-0.09190497295194842,0.25264683013191164,406610
16.0,0.001,8.504803820581334e-05,6.327339809241206e-05,0.2753833207184908,0.20017817425882056,0.15008179687081014,0.23782034479874492,0.15713932992247454,-0.15794685669778796,-15.794685669778797,-0.059446252819264016,0.09063554405154611,0.23027083928700584,0.006017486153718161,0.026132210975346574,-0.09041162106255374,0.2753833207184908,406610
17.0,0.001,8.50573217953419e-05,5.09355595568195e-05,0.2470800037657069,0.16696059628714585,0.08785159318546383,0.23782034479874492,0.15713932992247454,-0.03893552073855555,-3.893552073855555,-0.059446252819264016,0.028405340366199815,0.23027083928700584,0.006280266959652282,0.027273392406515957,-0.09214894087223842,0.2470800037657069,406610
18.0,0.001,8.43556766536435e-05,4.95469344744765e-05,0.24368873572997457,0.16299597913101715,0.07640509450609494,0.23782034479874492,0.15713932992247454,-0.024675731322296057,-2.4675731322296057,-0.059446252819264016,0.016958841686830914,0.23027083928700584,0.009926405453315105,0.04310752279381322,-0.09258806403020299,0.24368873572997457,406610
19.0,0.001,8.44539111320164e-05,4.7570824055383874e-05,0.2387796967049793,0.15787266001740408,0.05705254532162067,0.23782034479874492,0.15713932992247454,-0.004033935393737087,-0.4033935393737087,-0.059446252819264016,-0.002393707497643344,0.23027083928700584,0.013253985231531693,0.05755824433771286,-0.09181224164017836,0.2387796967049793,406610
20.0,0.001,8.435212657786906e-05,4.577145541775716e-05,0.23422024047546475,0.1541657040120989,0.03350968329941235,0.23782034479874492,0.15713932992247454,0.015137915666242785,1.5137915666242785,-0.059446252819264016,-0.02593656951985167,0.23027083928700584,0.012955810485872321,0.05626335721009124,-0.09112416728751607,0.23422024047546475,406610
21.0,0.001,8.474678800600331e-05,5.0095895509401415e-05,0.2450350016309645,0.16454649489897116,0.0812217299173182,0.23782034479874492,0.15713932992247454,-0.030336583854190247,-3.0336583854190247,-0.059446252819264016,0.021775477098054188,0.23027083928700584,0.008492871610579449,0.03688209778049261,-0.08907330501398912,0.2450350016309645,406610
22.0,0.001,8.45108090614052e-05,5.5684599916176385e-05,0.25834175974173507,0.18009841234068727,0.1160400588409046,0.23782034479874492,0.15713932992247454,-0.08628956854114556,-8.628956854114556,-0.059446252819264016,0.056593806021640575,0.23027083928700584,0.005839655275011883,0.02535994263578217,-0.08046709206602971,0.25834175974173507,406610
